дата;wiki id;page id;имя;профессия;ссылка
1924-06-09;Q70253385;69911373;Сытников, Владимир Петрович;;https://ru.wikipedia.org/wiki/Сытников,_Владимир_Петрович
1924-06-10;Q11588020;12727991;Исода, Кэнъити;Japanese baseball player;https://ru.wikipedia.org/wiki/Исода,_Кэнъити
1924-06-10;Q15066286;16731105;Файзуллина, Гавгар Садыковна;;https://ru.wikipedia.org/wiki/Файзуллина,_Гавгар_Садыковна
1924-06-10;Q16349949;17977709;Сеничев, Павел Васильевич;Latvian sport shooter (1924-1997);https://ru.wikipedia.org/wiki/Сеничев,_Павел_Васильевич
1924-06-10;Q4513828;4308195;Юрий Михайлович Чернов;русский советский писатель, поэт и журналист, военный корреспондент;https://ru.wikipedia.org/wiki/Юрий_Михайлович_Чернов
1924-06-10;Q18817465;20359059;Кавабата, Ёдзю;;https://ru.wikipedia.org/wiki/Кавабата,_Ёдзю
1924-06-10;Q822322;775146;Бордери, Бернар;French film director;https://ru.wikipedia.org/wiki/Бордери,_Бернар
1924-06-10;Q953179;903064;Бангертер, Ханс;UEFA general secretary;https://ru.wikipedia.org/wiki/Бангертер,_Ханс
1924-06-10;Q4141168;3949260;Годовиков, Сергей Константинович;;https://ru.wikipedia.org/wiki/Годовиков,_Сергей_Константинович
1924-06-10;Q13104021;14647495;Пойр, Марсель;люксембургский велогонщик;https://ru.wikipedia.org/wiki/Пойр,_Марсель
1924-06-10;Q68604;71318;Фридрих Бауэр;немецкий специалист в области компьютерных наук, один из создателей языка программирования ALGOL 60;https://ru.wikipedia.org/wiki/Фридрих_Бауэр
1924-06-11;Q5478651;5239749;Фрэнсис Фостер;actress (1924-1997);https://ru.wikipedia.org/wiki/Фрэнсис_Фостер
1924-06-11;Q16447977;18072560;Мурашов, Павел Романович;;https://ru.wikipedia.org/wiki/Мурашов,_Павел_Романович
1924-06-11;Q3918465;3737597;Ахтар, Абдур Рахман;Pakistani intelligence chief;https://ru.wikipedia.org/wiki/Ахтар,_Абдур_Рахман
1924-06-11;Q4418838;4220364;Сидоров, Владимир Васильевич;;https://ru.wikipedia.org/wiki/Сидоров,_Владимир_Васильевич
1924-06-11;Q15065879;16730700;Дмитриев, Борис Михайлович;;https://ru.wikipedia.org/wiki/Дмитриев,_Борис_Михайлович
1924-06-11;Q17617361;19209217;Гансон, Владимир Александрович;;https://ru.wikipedia.org/wiki/Гансон,_Владимир_Александрович
1924-06-11;Q1591084;1526620;Ренате Штайнер;German politician (1924-1991);https://ru.wikipedia.org/wiki/Ренате_Штайнер
1924-06-11;Q18236407;19765423;Белокрылов, Пётр Иванович;;https://ru.wikipedia.org/wiki/Белокрылов,_Пётр_Иванович
1924-06-12;Q4932151;4712890;Роберт Коуэлл;American swimmer, Olympic silver medalist, U.S. Navy officer;https://ru.wikipedia.org/wiki/Роберт_Коуэлл
1924-06-12;Q60030994;59910269;Джейк Тиг;американский порноактёр «Золотого века порно»;https://ru.wikipedia.org/wiki/Джейк_Тиг
1924-06-12;Q3365508;3207513;Йоргенсен, Виктор;boxer;https://ru.wikipedia.org/wiki/Йоргенсен,_Виктор
1924-06-12;Q772499;725776;Хаваокс, Пауль;Estonian author and writer (1924-1983);https://ru.wikipedia.org/wiki/Хаваокс,_Пауль
1924-06-12;Q20029540;21699990;Али Ламеда;Venezuelan author;https://ru.wikipedia.org/wiki/Али_Ламеда
1924-06-12;Q5101018;4875267;Чингэлтэй;Chinese linguist;https://ru.wikipedia.org/wiki/Чингэлтэй
1924-06-12;Q17057455;18662917;Анна Беер;Norwegian lawyer and judge;https://ru.wikipedia.org/wiki/Анна_Беер
1924-06-12;Q18243268;19772405;Карпов, Павел Алексеевич;;https://ru.wikipedia.org/wiki/Карпов,_Павел_Алексеевич
1924-06-12;Q23505;26889;Джордж Герберт Уокер Буш;41-й президент США, вице-президент при Рональде Рейгане, сенатор, дипломат, директор ЦРУ;https://ru.wikipedia.org/wiki/Джордж_Герберт_Уокер_Буш
1924-06-12;Q55104775;55175164;Садыхов, Аждар Тарверди оглы;;https://ru.wikipedia.org/wiki/Садыхов,_Аждар_Тарверди_оглы
1924-06-12;Q91711021;90891826;Кабатов, Виталий Алексеевич;Russian jurist;https://ru.wikipedia.org/wiki/Кабатов,_Виталий_Алексеевич
1924-06-12;Q302163;291108;Гуревич, Арон Яковлевич;Russian historian;https://ru.wikipedia.org/wiki/Гуревич,_Арон_Яковлевич
1924-06-12;Q3701610;3527649;Барбара Леонард;American politician;https://ru.wikipedia.org/wiki/Барбара_Леонард
1924-06-12;Q15075216;16738872;Сунагатуллин, Жавдат Гумурдакович;;https://ru.wikipedia.org/wiki/Сунагатуллин,_Жавдат_Гумурдакович
1924-06-13;Q16697949;18303156;Синюков, Михаил Иванович;Soviet economist (1924-1996);https://ru.wikipedia.org/wiki/Синюков,_Михаил_Иванович
1924-06-13;Q28611636;30304053;Мита, Такаси;Japanese actor;https://ru.wikipedia.org/wiki/Мита,_Такаси
1924-06-13;Q4065551;3874313;Андреева, Галина Михайловна;Soviet sociologist and psychologist (1924-2014);https://ru.wikipedia.org/wiki/Андреева,_Галина_Михайловна
1924-06-13;Q4440162;4239822;Василий Константинович Старовойтов;;https://ru.wikipedia.org/wiki/Василий_Константинович_Старовойтов
1924-06-13;Q115761;118330;Бронислав Бачко;Polish philosopher (1924-2016);https://ru.wikipedia.org/wiki/Бронислав_Бачко
1924-06-13;Q4132104;3940055;Гак, Владимир Григорьевич;;https://ru.wikipedia.org/wiki/Гак,_Владимир_Григорьевич
1924-06-13;Q15064948;16729780;Венедиктов, Валерий Николаевич;;https://ru.wikipedia.org/wiki/Венедиктов,_Валерий_Николаевич
1924-06-13;Q426787;402820;Ли Миллар;Canadian actor (1924-1980);https://ru.wikipedia.org/wiki/Ли_Миллар
1924-06-13;Q5671058;5432864;Харри Мишель;American politician;https://ru.wikipedia.org/wiki/Харри_Мишель
1924-06-13;Q816508;769384;Бен Холл;American musician and songwriter;https://ru.wikipedia.org/wiki/Бен_Холл
1924-06-14;Q4369754;4174259;Поленов, Георгий Фёдорович;;https://ru.wikipedia.org/wiki/Поленов,_Георгий_Фёдорович
1924-06-14;Q4393880;4196909;Рехтер, Яаков;Israeli architect;https://ru.wikipedia.org/wiki/Рехтер,_Яаков
1924-06-14;Q6236344;6037687;Джон Грив;Scottish actor;https://ru.wikipedia.org/wiki/Джон_Грив
1924-06-14;Q15064566;16729406;Богун, Николай Андреевич;;https://ru.wikipedia.org/wiki/Богун,_Николай_Андреевич
1924-06-14;Q15178558;16829088;Тё, Юкио;economist;https://ru.wikipedia.org/wiki/Тё,_Юкио
1924-06-14;Q2394171;2312933;Солоухин, Владимир Алексеевич;русский писатель и поэт;https://ru.wikipedia.org/wiki/Солоухин,_Владимир_Алексеевич
1924-06-14;Q3121974;2983038;Ги Мэресс;French actor;https://ru.wikipedia.org/wiki/Ги_Мэресс
1924-06-14;Q4371160;4175565;Полысаев, Владимир Фёдорович;;https://ru.wikipedia.org/wiki/Полысаев,_Владимир_Фёдорович
1924-06-14;Q56374997;56313998;Василь Петрович Николин;украинский политик и военный;https://ru.wikipedia.org/wiki/Василь_Петрович_Николин
1924-06-14;Q110974;113601;Джеймс Блэк;шотландский фармаколог;https://ru.wikipedia.org/wiki/Джеймс_Блэк
1924-06-14;Q6113367;5905126;Джек Джонс;American newspaper journalist (1924-2011);https://ru.wikipedia.org/wiki/Джек_Джонс
1924-06-14;Q20616532;22364086;Фаина Иннокентьевна Авдеева;;https://ru.wikipedia.org/wiki/Фаина_Иннокентьевна_Авдеева
1924-06-14;Q2084261;2011231;Сочнев, Антонин Николаевич;Soviet footballer (1924-2012);https://ru.wikipedia.org/wiki/Сочнев,_Антонин_Николаевич
1924-06-15;Q2408328;2326491;Тадеус Голас;Science and metaphysics innovator;https://ru.wikipedia.org/wiki/Тадеус_Голас
1924-06-15;Q9381983;9488015;Владислав Козловскийй;Polish actor;https://ru.wikipedia.org/wiki/Владислав_Козловскийй
1924-06-15;Q18242350;19771460;Зацепин, Митрофан Алексеевич;;https://ru.wikipedia.org/wiki/Зацепин,_Митрофан_Алексеевич
1924-06-15;Q11602540;12742837;Сасаяма, Кадзутоси;Japanese politician (1924-2011);https://ru.wikipedia.org/wiki/Сасаяма,_Кадзутоси
1924-06-15;Q15065795;16730618;Дёмин, Пантелей Иванович;;https://ru.wikipedia.org/wiki/Дёмин,_Пантелей_Иванович
1924-06-15;Q86607037;85854207;Василий Васильевич Дзюба;гвардии старшина, полный кавалер Ордена Славы;https://ru.wikipedia.org/wiki/Василий_Васильевич_Дзюба
1924-06-15;Q128911;130902;Эзер Вейцман;израильский военный и государственный деятель, 7-й Президент Израиля;https://ru.wikipedia.org/wiki/Эзер_Вейцман
1924-06-15;Q4948961;4729692;Фрид, Хеди;еврейская шведская писательница, психолог, пережившая Холокост;https://ru.wikipedia.org/wiki/Фрид,_Хеди
1924-06-15;Q16627336;18236972;Бокатый, Иван Тимофеевич;;https://ru.wikipedia.org/wiki/Бокатый,_Иван_Тимофеевич
1924-06-15;Q11456914;12596386;Томиока, Мотоёси;Japanese camera operator (1924-2011);https://ru.wikipedia.org/wiki/Томиока,_Мотоёси
1924-06-15;Q4328138;4136631;Нурметов, Сатым;;https://ru.wikipedia.org/wiki/Нурметов,_Сатым
1924-06-15;Q16368779;17998127;Ариф, Гусейн;;https://ru.wikipedia.org/wiki/Ариф,_Гусейн
1924-06-15;Q4178149;3986306;Жаныбеков, Шангерей Жаныбекович;;https://ru.wikipedia.org/wiki/Жаныбеков,_Шангерей_Жаныбекович
1924-06-15;Q16676545;18282567;Николай Николаевич Щукин;советский певец;https://ru.wikipedia.org/wiki/Николай_Николаевич_Щукин
1924-06-15;Q503913;473910;Ламбрусчини, Армандо;Argentinian Admiral (1924-2004);https://ru.wikipedia.org/wiki/Ламбрусчини,_Армандо
1924-06-15;Q4469491;4267206;Удов, Степан Иванович;;https://ru.wikipedia.org/wiki/Удов,_Степан_Иванович
1924-06-15;Q30346346;31958064;Абдулхамит Джамалов;;https://ru.wikipedia.org/wiki/Абдулхамит_Джамалов
